Dosya Adı,Karar Künyesi (Esas/Karar),Durum,Tespit Edilen Hata
Ceza Genel Kurulu_2004_126.E._2004_146.K.(16056100).txt,2004/126 E. - 2004/146 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_128.E._2004_163.K.(16057500).txt,2004/128 E. - 2004/163 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_129.E._2004_150.K.(16056500).txt,2004/129 E. - 2004/150 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_130.E._2004_206.K.(16388500).txt,2004/130 E. - 2004/206 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_131.E._2004_152.K.(16056700).txt,2004/131 E. - 2004/152 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_132.E._2004_153.K.(16056800).txt,2004/132 E. - 2004/153 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_134.E._2004_156.K.(16057000).txt,2004/134 E. - 2004/156 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_135.E._2004_161.K.(16057400).txt,2004/135 E. - 2004/161 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_136.E._2004_158.K.(16057200).txt,2004/136 E. - 2004/158 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_138.E._2004_159.K.(16057300).txt,2004/138 E. - 2004/159 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_139.E._2004_164.K.(16057600).txt,2004/139 E. - 2004/164 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_140.E._2004_174.K.(16058400).txt,2004/140 E. - 2004/174 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_141.E._2004_169.K.(16058000).txt,2004/141 E. - 2004/169 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_143.E._2004_175.K.(16058500).txt,2004/143 E. - 2004/175 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_144.E._2004_170.K.(16058100).txt,2004/144 E. - 2004/170 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_145.E._2004_196.K.(16059200).txt,2004/145 E. - 2004/196 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 510 karakter.
Ceza Genel Kurulu_2004_146.E._2005_7.K.(16389600).txt,2004/146 E. - 2005/7 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 878 karakter.
Ceza Genel Kurulu_2004_149.E._2004_171.K.(16058200).txt,2004/149 E. - 2004/171 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_150.E._2004_192.K.(16058800).txt,2004/150 E. - 2004/192 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 517 karakter.
Ceza Genel Kurulu_2004_155.E._2004_193.K.(16058900).txt,2004/155 E. - 2004/193 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_156.E._2004_188.K.(16058600).txt,2004/156 E. - 2004/188 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_158.E._2005_58.K.(16449000).txt,2004/158 E. - 2005/58 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 5791 karakter.
Ceza Genel Kurulu_2004_16.E._2004_33.K.(16141600).txt,2004/16 E. - 2004/33 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_163.E._2004_194.K.(16059000).txt,2004/163 E. - 2004/194 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 624 karakter.
Ceza Genel Kurulu_2004_164.E._2004_200.K.(16059600).txt,2004/164 E. - 2004/200 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_169.E._2004_197.K.(16059300).txt,2004/169 E. - 2004/197 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_170.E._2004_205.K.(16081900).txt,2004/170 E. - 2004/205 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_171.E._2004_195.K.(16059100).txt,2004/171 E. - 2004/195 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_172.E._2004_165.K.(16057700).txt,2004/172 E. - 2004/165 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_173.E._2004_228.K.(16084000).txt,2004/173 E. - 2004/228 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 1416 karakter.
Ceza Genel Kurulu_2004_175.E._2004_198.K.(16059400).txt,2004/175 E. - 2004/198 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
